"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Failed Login with null username and valid password","SUCCESS","2022-03-22T17:13:58.1398728+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Failed Login with valid username and null password","SUCCESS","2022-03-22T17:13:58.2222492+07:00[Asia/Jakarta]","0.0","0.06"
"Login","Failed Login with valid username and invalid password","SUCCESS","2022-03-22T17:13:58.3182714+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Failed Login with invalid username and valid password","SUCCESS","2022-03-22T17:13:58.3902869+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Failed Login with invalid username and invalid password","SUCCESS","2022-03-22T17:13:58.4623044+07:00[Asia/Jakarta]","0.0","0.05"
"Job Search","Success search job by title","SUCCESS","2022-03-22T17:13:58.5423247+07:00[Asia/Jakarta]","0.0","0.06"
"Job Search","Success search job by city","SUCCESS","2022-03-22T17:13:58.6303529+07:00[Asia/Jakarta]","0.0","0.05"
"Job Search","Success search job by city and title","SUCCESS","2022-03-22T17:13:58.7023637+07:00[Asia/Jakarta]","0.0","0.04"
"Job Search","Success search job by history","SUCCESS","2022-03-22T17:13:58.7583781+07:00[Asia/Jakarta]","0.0","0.04"
"My network","see account profile that just connected with me","SUCCESS","2022-03-22T17:13:58.8223951+07:00[Asia/Jakarta]","0.0","0.04"
"My network","see account that i ignored","SUCCESS","2022-03-22T17:13:58.8864162+07:00[Asia/Jakarta]","0.0","0.05"
"Search","Success Search a profile","SUCCESS","2022-03-22T17:13:58.9664293+07:00[Asia/Jakarta]","0.0","0.03"
"Search","Success clear history","SUCCESS","2022-03-22T17:13:59.0144426+07:00[Asia/Jakarta]","0.0","0.04"
"Search","Success display list of username that contains to our search","SUCCESS","2022-03-22T17:13:59.0704555+07:00[Asia/Jakarta]","0.0","0.05"
