"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Success login","SUCCESS","2022-03-23T09:04:28.2322679+07:00[Asia/Jakarta]","0.0","1.29"
"Login","Failed Login with null username and valid password","SUCCESS","2022-03-23T09:04:30.8974725+07:00[Asia/Jakarta]","0.0","1.33"
"Login","Failed Login with valid username and null password","SUCCESS","2022-03-23T09:04:33.7866787+07:00[Asia/Jakarta]","0.0","0.06"
"Login","Failed Login with valid username and invalid password","SUCCESS","2022-03-23T09:04:33.9336931+07:00[Asia/Jakarta]","0.0","0.08"
"Login","Failed Login with invalid username and valid password","SUCCESS","2022-03-23T09:04:34.0456985+07:00[Asia/Jakarta]","0.0","0.07"
"Login","Failed Login with invalid username and invalid password","SUCCESS","2022-03-23T09:04:34.1547084+07:00[Asia/Jakarta]","0.0","0.11"
"Job Search","Success search job by title","SUCCESS","2022-03-23T09:04:34.310718+07:00[Asia/Jakarta]","0.0","0.06"
"Job Search","Success search job by city","SUCCESS","2022-03-23T09:04:34.3967253+07:00[Asia/Jakarta]","0.0","0.05"
"Job Search","Success search job by city and title","SUCCESS","2022-03-23T09:04:34.4787318+07:00[Asia/Jakarta]","0.0","0.1"
"Job Search","Success search job by history","SUCCESS","2022-03-23T09:04:34.6127418+07:00[Asia/Jakarta]","0.0","0.03"
"My network","see account profile that just connected with me","SUCCESS","2022-03-23T09:04:34.6727634+07:00[Asia/Jakarta]","0.0","0.04"
"My network","see account that i ignored","SUCCESS","2022-03-23T09:04:34.7307516+07:00[Asia/Jakarta]","0.0","0.05"
"Search","Success Search a profile","SUCCESS","2022-03-23T09:04:34.8967624+07:00[Asia/Jakarta]","0.0","0.04"
"Search","Success clear history","SUCCESS","2022-03-23T09:04:34.9587681+07:00[Asia/Jakarta]","0.0","0.04"
"Search","Success display list of username that contains to our search","SUCCESS","2022-03-23T09:04:35.0217724+07:00[Asia/Jakarta]","0.0","0.04"
